评论时间,评论者,弹幕内容
2022/4/2 13:34,雇猫衔鱼,up之间的风格真是肉眼可见的在互相传染的，这就是人传人现象吗[doge]
2022/4/2 17:35,长谷深风-_-,昨天刚入坑，今天怼到了十级，个人感觉有点肝[脱单doge]
2022/4/2 17:36,战胜科学家我开始,感觉蛮难的
2022/4/2 21:18,大风起夕丶云飞扬,不会真的有人还会上马化腾的当吧？
2022/4/2 17:14,Obtuse_angle,居然有一天能在竖屏模式刷到老番茄
2022/4/2 17:01,汁匕刂,还记得欧德·托马头游戏公测的时候差评率88％[doge][doge]
2022/4/2 17:02,啊pong啊pong,[doge]
2022/4/2 12:39,想不出来了没有,老番茄对12：00的执着[doge][doge]
2022/4/2 12:26,Gizmo271744,你也喜欢读《牛氓》吗欧德•保尔
2022/4/2 12:22,兔子小姐爱上老狐狸,周六12:00
2022/4/2 12:27,泛权,和小潮约好了？一人一天12点发视频[doge]
2022/4/2 21:05,天跃M,眼神中充满“智慧”托马头，他来了[妙啊]
2022/4/2 12:40,kiss灬梦影,《论老番茄对于周六中午12点发视频的执着这件事》[doge]
2022/4/2 12:41,我叫赵一博,e
2022/4/2 13:15,绚耀灿灿,[狗子][亲亲]
2022/4/2 12:15,青木贞宗,或许番茄忘记今天这个时候一群人还在学校（
2022/4/2 12:11,你看我名字有十个字,看似的老番茄在打广告，其是他是给我们带来的快乐。
2022/4/2 12:51,吃女孩de小红帽,众所周知，老番茄对周六12:00发视频的执着[doge]
2022/4/2 12:52,猩猩大口喝汤,黄金家庭档
2022/4/2 12:02,瑞子Astor,今天补课上班，现在没人看吗[吃瓜]，这前排十分珍贵，各位先坐吧
2022/4/2 12:11,辰轩墨客,可恶啊，虽然知道是这个时间这个男人会发视频，但还是晚来了，我有罪[捂眼]
2022/4/2 12:11,哪努多,我也有罪[doge][doge][doge]
2022/4/2 14:30,白夜酱子鱼,哈哈哈哈哈哈哈茄子对十二点的执着！
2022/4/2 13:58,杀手48,有被冒犯到[脱单doge]
2022/4/2 14:11,去世的丘丘人,[脱单doge][脱单doge][脱单doge]
2022/4/2 12:47,何乐逍遥,就记住了4个字:重返帝国[d[微笑][doge]
2022/4/2 12:30,嘎嘎喜欢吃烤鸭,在平凡的世界里平凡的人周中平凡的一个周六12:00，故事从这里开始......
2022/4/2 12:30,子桑墨律,你这不是12点30吗？
2022/4/2 12:22,虾山猫,非得在周六12点整发视频的屑[doge]
2022/4/2 13:58,杀手48,有被冒犯到[脱单doge]
2022/4/2 14:11,去世的丘丘人,[脱单doge][脱单doge][脱单doge]
2022/4/2 15:16,炤花,上网课的时候当然是要摸鱼啦[妙啊][妙啊][妙啊]
2022/4/2 15:16,舌尖上的のrerorero,嗨[doge]我在上化学
2022/4/2 15:16,哈兹利特,[doge]
2022/4/2 15:24,谁有修改器啊,把网课录下来看，好孩子[doge]
2022/4/2 15:06,七月困困,看到这条的人记得好好听课被我抓到摸鱼了吧
2022/4/2 15:07,陈二人世界,刚下课[doge]
2022/4/2 15:07,析析不吃香菜,你怎么知道的！可恶！
2022/4/2 15:23,冰火之神星辰,我们下午不上课[墨镜][墨镜][墨镜]
2022/4/2 12:37,闰小小,马哥提刀正在赶来的路上loading......50%━━━━━━━━━━━━━━━━━━——————————
2022/4/7 12:59,千片白,老番茄视频都没有几秒游戏实机，这游戏什么水平就不用说了吧
2022/4/2 13:09,改名后就好了,俩人连续好几个星期星期六十二点更新了哈哈啊哈
2022/4/2 13:10,改名后就好了,某幻快一点[doge]
2022/4/2 12:49,理子心,我还以为是超魔导骑兵呢[doge]
2022/4/2 12:31,涩葵丶,熟悉的周六，熟悉的12点托马头与你不见不散[doge]
2022/4/2 15:28,迷黎君哟,可恶，被你发现我在上网课了，但是摸鱼佬永不空军[妙啊]
2022/4/2 13:23,刘在飞,怎么听起来跟星际争霸一样啊[doge][doge][doge]
2022/4/2 18:55,37notFound,刚回来就刷到了切切的视频[热词系列_好耶]
2022/4/2 13:40,哨校majesty,所以我如果一开始选马桶族会怎么样
2022/4/2 13:18,胖墩墩的酒鬼爸爸,不得不说欧德托码头的恰饭作品质量也是很好的
2022/4/2 18:05,海盐_Nancy,关于茄茄坚持在12点发视频这件事[热词系列_知识增加]
2022/4/2 18:05,驚㕯凩仫,我是你的第一条评论。
2022/4/2 15:55,世界第二好室友,出一个马骑人我就入手游戏[傲娇][傲娇]
2022/4/2 12:50,呆呆的蠢民,看完后心中毫无波澜
2022/4/2 12:45,清谷工作室,番茄从视频中得到的唯一三连，就是得不到任何三连[脱单doge]
2022/4/2 12:08,何秋撒啊_,实锤！老番茄对12点发视频有执念！[脱单doge]
2022/4/2 13:52,磊磊五分甜,说真的，这种高质量恰饭我可以接受[OK]
2022/4/2 16:25,夜衿凉风悴,可是可是[doge]我喜欢看步兵吖[2233娘_大笑]
2022/4/2 16:25,虱浦_,[doge]
2022/4/2 16:27,匿名用户9997,[doge]
2022/4/2 15:57,该用户已被关小黑屋,法神圣魔屎啦~法神圣魔屎啦~[doge]
2022/4/3 19:34,裂幵了艹,以前的视频：为了视频做广告现在的视频：为了广告做视频[Cat2_Launch!]
2022/4/6 18:18,9_gh,他给的太多了[doge][doge]
2022/4/2 13:14,小钰aaa,[doge]
2022/4/2 13:11,桀湦,您已追番，每周十二点更新[脱单doge]
2022/4/2 14:05,笔沫纸沿,每周六[脱单doge]
2022/4/2 13:08,--汪汪汪--,要是把所有的人物模型的头换成尖下巴就更好了👌🏻
2022/4/2 13:08,0恰饭0,。好
2022/4/2 13:05,我的MA鸭_,等🍅生日的时候哪位也去找一下马牛逼[doge]
2022/4/2 12:58,眼里有糖Sugar,我是托马头，嘿嘿嘿～诶嘿嘿～[害羞][害羞][害羞]
2022/4/2 12:57,做头发的周一,我玩的时间还长一些，小充两百块，联盟战力榜前五，前期还好玩的，后期氪不起，退了
2022/4/2 12:40,不是彩色的彩笔,你们商量好一起更新的吗？[doge]
2022/4/2 12:36,鹿丸子咕咕,既然这样，那是不是说，有一种可能，切切要变成周更up[脱单doge]
2022/4/2 12:35,爱肝的小谁,《上海番茄文化传播有限公司》[doge]
2022/4/2 12:33,上野绘梨依,优质广告[嗑瓜子]
2022/4/2 12:32,小dd247,老番茄对中午12点准时发视频的执着[doge]
2022/4/2 12:28,昵称全让你们起完了,只有我一个人看成了老番茄，骑着兵长么？
2022/4/2 12:27,做猫的树,刚复试完茄茄更新了，开心[Cat2_Inbox!]
2022/4/2 12:24,不在家不写作业,《论切切对周六12点发视频的执着》
2022/4/2 12:22,一个路过的科学家,啊b又一次20分钟之内给我推了茄哥的新视频(゜-゜)つロ
2022/4/2 12:23,一个路过的科学家,精神污染awsl
2022/4/2 12:23,修改未成功,你一发就看到你了
2022/4/2 12:22,给给的め,你们俩一起更新我又以为使命必达更新了[热词系列_知识增加]
2022/4/2 12:21,Yina_笙师傅别吃了,永远执着于周六中午的洋柿子[doge]
2022/4/2 12:21,Ppp别犯困,让我看看谁形成生理记忆，每次周六中午十二点准时上厕所[doge]
